Data Point,Voltage,SOC
446,4.051,99.18966551
447,4.051,99.18784862
448,4.051,99.18603172
449,4.051,99.18421483
450,4.051,99.18239794
451,4.051,99.18058104
452,4.051,99.17876415
453,4.051,99.17694726
454,4.051,99.17513036
455,4.051,99.17331347
456,4.051,99.17149658
457,4.051,99.16967968
458,4.051,99.16786279
459,4.051,99.16604589
460,4.051,99.164229
461,4.051,99.16241211
462,4.051,99.16059521
463,4.051,99.15877832
464,4.051,99.15696143
465,4.051,99.15514453
466,4.051,99.15332764
467,4.051,99.15151075
468,4.051,99.14969385
469,4.051,99.14787696
470,4.051,99.14606007
471,4.051,99.14424317
472,4.051,99.14242628
473,4.051,99.14060939
474,4.051,99.13879249
475,4.051,99.1369756
476,4.051,99.13515871
477,4.051,99.13334181
478,4.05,99.13152492
479,4.05,99.12970803
480,4.05,99.12789113
481,4.05,99.12607424
482,4.05,99.12425734
483,4.05,99.12244045
484,4.05,99.12062356
485,4.05,99.11880666
486,4.05,99.11698977
487,4.05,99.11517288
488,4.05,99.11335598
489,4.05,99.11153909
490,4.05,99.1097222
491,4.05,99.1079053
492,4.05,99.10608841
493,4.05,99.10427152
494,4.05,99.10245462
495,4.05,99.10063773
496,4.05,99.09882084
497,4.05,99.09700394
498,4.05,99.09518705
499,4.05,99.09337016
500,4.05,99.09155326
501,4.05,99.08973637
502,4.05,99.08791948
503,4.05,99.08610258
504,4.05,99.08428569
505,4.05,99.08246879
506,4.05,99.0806519
507,4.05,99.07883501
508,4.05,99.07701811
509,4.05,99.07520122
510,4.05,99.07338433
511,4.05,99.07156743
512,4.05,99.06975054
513,4.05,99.06793365
514,4.05,99.06611675
515,4.05,99.06429986
516,4.05,99.06248297
517,4.05,99.06066607
518,4.05,99.05884918
519,4.049,99.05703229
520,4.049,99.05521539
521,4.05,99.0533985
522,4.049,99.05158161
523,4.049,99.04976471
524,4.049,99.04794782
525,4.049,99.04613093
526,4.049,99.04431403
527,4.049,99.04249714
528,4.048,99.04068024
529,4.048,99.03886335
530,4.048,99.03704646
531,4.048,99.03522956
532,4.048,99.03341267
533,4.048,99.03159578
534,4.048,99.02977888
535,4.048,99.02796199
536,4.048,99.0261451
537,4.048,99.0243282
538,4.048,99.02251131
539,4.048,99.02069442
540,4.048,99.01887752
541,4.048,99.01706063
542,4.048,99.01524374
543,4.048,99.01342684
544,4.048,99.01160995
545,4.048,99.00979306
546,4.048,99.00797616
547,4.048,99.00615927
548,4.048,99.00434238
549,4.048,99.00252548
550,4.048,99.00070859
551,4.048,98.99889169
552,4.048,98.9970748
553,4.048,98.99525791
554,4.048,98.99344101
555,4.048,98.99162412
556,4.048,98.98980723
557,4.048,98.98799033
558,4.048,98.98617344
559,4.048,98.98435655
560,4.048,98.98253965
561,4.048,98.98072276
562,4.048,98.97890587
563,4.048,98.97708897
564,4.048,98.97527208
565,4.048,98.97345519
566,4.048,98.97163829
567,4.048,98.9698214
568,4.048,98.96800451
569,4.048,98.96618761
570,4.048,98.96437072
571,4.048,98.96255383
572,4.048,98.96073693
573,4.048,98.95892004
574,4.048,98.95710315
575,4.048,98.95528625
576,4.048,98.95346936
577,4.048,98.95165246
578,4.048,98.94983557
579,4.048,98.94801868
580,4.048,98.94620178
581,4.048,98.94438489
582,4.048,98.942568
583,4.048,98.9407511
584,4.048,98.93893421
585,4.048,98.93711732
586,4.048,98.93530042
587,4.048,98.93348353
588,4.048,98.93166664
589,4.048,98.92984974
590,4.048,98.92803285
591,4.048,98.92621596
592,4.048,98.92439906
593,4.048,98.92258217
594,4.048,98.92076528
595,4.048,98.91894838
596,4.048,98.91713149
597,4.048,98.9153146
598,4.048,98.9134977
599,4.048,98.91168081
600,4.048,98.90986391
601,4.048,98.90804702
602,4.048,98.90623013
603,4.048,98.90441323
604,4.048,98.90259634
605,4.048,98.90077945
606,4.048,98.89896255
607,4.048,98.89714566
608,4.048,98.89532877
609,4.048,98.89351187
610,4.048,98.89169498
611,4.048,98.88987809
612,4.048,98.88806119
613,4.048,98.8862443
614,4.048,98.88442741
615,4.048,98.88261051
616,4.048,98.88079362
617,4.048,98.87897673
618,4.048,98.87715983
619,4.047,98.87534294
620,4.048,98.87352605
621,4.048,98.87170915
622,4.048,98.86989226
623,4.048,98.86807536
624,4.047,98.86625847
625,4.047,98.86444158
626,4.047,98.86262468
627,4.047,98.86080779
628,4.048,98.8589909
629,4.048,98.857174
630,4.048,98.85535711
631,4.048,98.85354022
632,4.048,98.85172332
633,4.047,98.84990643
634,4.048,98.84808954
635,4.047,98.84627264
636,4.047,98.84445575
637,4.047,98.84263886
638,4.047,98.84082196
639,4.047,98.83900507
640,4.047,98.83718818
641,4.047,98.83537128
642,4.047,98.83355439
643,4.047,98.8317375
644,4.047,98.8299206
645,4.047,98.82810371
646,4.047,98.82628681
647,4.047,98.82446992
648,4.047,98.82265303
649,4.047,98.82083613
650,4.047,98.81901924
651,4.047,98.81720235
652,4.047,98.81538545
653,4.047,98.81356856
654,4.047,98.81175167
655,4.047,98.80993477
656,4.047,98.80811788
657,4.047,98.80630099
658,4.047,98.80448409
659,4.047,98.8026672
660,4.047,98.80085031
661,4.047,98.79903341
662,4.047,98.79721652
663,4.047,98.79539963
664,4.047,98.79358273
665,4.047,98.79176584
666,4.047,98.78994895
667,4.047,98.78813205
668,4.047,98.78631516
669,4.047,98.78449826
670,4.047,98.78268137
671,4.047,98.78086448
672,4.047,98.77904758
673,4.047,98.77723069
674,4.047,98.7754138
675,4.047,98.7735969
676,4.047,98.77178001
677,4.047,98.76996312
678,4.047,98.76814622
679,4.047,98.76632933
680,4.047,98.76451244
681,4.047,98.76269554
682,4.047,98.76087865
683,4.047,98.75906176
684,4.047,98.75724486
685,4.047,98.75542797
686,4.047,98.75361108
687,4.047,98.75179418
688,4.047,98.74997729
689,4.047,98.7481604
690,4.047,98.7463435
691,4.047,98.74452661
692,4.047,98.74270971
693,4.047,98.74089282
694,4.047,98.73907593
695,4.047,98.73725903
696,4.047,98.73544214
697,4.047,98.73362525
698,4.047,98.73180835
699,4.047,98.72999146
700,4.047,98.72817457
701,4.047,98.72635767
702,4.047,98.72454078
703,4.047,98.72272389
704,4.047,98.72090699
705,4.047,98.7190901
706,4.047,98.71727321
707,4.047,98.71545631
708,4.047,98.71363942
709,4.047,98.71182253
710,4.047,98.71000563
711,4.047,98.70818874
712,4.047,98.70637185
713,4.047,98.70455495
714,4.047,98.70273806
715,4.047,98.70092116
716,4.047,98.69910427
717,4.047,98.69728738
718,4.047,98.69547048
719,4.047,98.69365359
720,4.047,98.6918367
721,4.047,98.6900198
722,4.047,98.68820291
723,4.047,98.68638602
724,4.047,98.68456912
725,4.047,98.68275223
726,4.047,98.68093534
727,4.047,98.67911844
728,4.047,98.67730155
729,4.047,98.67548466
730,4.047,98.67366776
731,4.047,98.67185087
732,4.047,98.67003398
733,4.046,98.66821708
734,4.046,98.66640019
735,4.047,98.6645833
736,4.046,98.6627664
737,4.046,98.66094951
738,4.047,98.65913262
739,4.047,98.65731572
740,4.047,98.65549883
741,4.046,98.65368193
742,4.046,98.65186504
743,4.046,98.65004815
744,4.047,98.64823125
745,4.046,98.64641436
746,4.046,98.64459747
747,4.046,98.64278057
748,4.046,98.64096368
749,4.046,98.63914679
750,4.046,98.63732989
751,4.046,98.635513
752,4.046,98.63369611
753,4.046,98.63187921
754,4.046,98.63006232
755,4.046,98.62824543
756,4.046,98.62642853
757,4.046,98.62461164
758,4.046,98.62279475
759,4.046,98.62097785
760,4.046,98.61916096
761,4.046,98.61734407
762,4.046,98.61552717
763,4.046,98.61371028
764,4.046,98.61189338
765,4.046,98.61007649
766,4.046,98.6082596
767,4.046,98.6064427
768,4.046,98.60462581
769,4.046,98.60280892
770,4.046,98.60099202
771,4.046,98.59917513
772,4.046,98.59735824
773,4.046,98.59554134
774,4.046,98.59372445
775,4.046,98.59190756
776,4.046,98.59009066
777,4.046,98.58827377
778,4.046,98.58645688
779,4.046,98.58463998
780,4.046,98.58282309
781,4.046,98.5810062
782,4.046,98.5791893
783,4.046,98.57737241
784,4.046,98.57555552
785,4.046,98.57373862
786,4.046,98.57192173
787,4.046,98.57010483
788,4.045,98.56828794
789,4.045,98.56647105
790,4.046,98.56465415
791,4.045,98.56283726
792,4.045,98.56102037
793,4.045,98.55920347
794,4.045,98.55738658
795,4.045,98.55556969
796,4.045,98.55375279
797,4.045,98.5519359
798,4.045,98.55011901
799,4.045,98.54830211
800,4.045,98.54648522
801,4.045,98.54466833
802,4.045,98.54285143
803,4.045,98.54103454
804,4.045,98.53921765
805,4.045,98.53740075
806,4.045,98.53558386
807,4.045,98.53376697
808,4.045,98.53195007
809,4.045,98.53013318
810,4.045,98.52831628
811,4.045,98.52649939
812,4.045,98.5246825
813,4.045,98.5228656
814,4.045,98.52104871
815,4.045,98.51923182
816,4.045,98.51741492
817,4.045,98.51559803
818,4.045,98.51378114
819,4.045,98.51196424
820,4.045,98.51014735
821,4.045,98.50833046
822,4.045,98.50651356
823,4.045,98.50469667
824,4.045,98.50287978
825,4.045,98.50106288
826,4.045,98.49924599
827,4.045,98.4974291
828,4.045,98.4956122
829,4.045,98.49379531
830,4.045,98.49197842
831,4.044,98.49016152
832,4.045,98.48834463
833,4.044,98.48652773
834,4.045,98.48471084
835,4.044,98.48289395
836,4.044,98.48107705
837,4.044,98.47926016
838,4.045,98.47744327
839,4.044,98.47562637
840,4.044,98.47380948
841,4.044,98.47199259
842,4.044,98.47017569
843,4.044,98.4683588
844,4.044,98.46654191
845,4.044,98.46472501
846,4.044,98.46290812
847,4.044,98.46109123
848,4.044,98.45927433
849,4.044,98.45745744
850,4.044,98.45564055
851,4.044,98.45382365
852,4.044,98.45200676
853,4.044,98.45018987
854,4.044,98.44837297
855,4.044,98.44655608
856,4.044,98.44473918
857,4.044,98.44292229
858,4.044,98.4411054
859,4.044,98.4392885
860,4.044,98.43747161
861,4.044,98.43565472
862,4.044,98.43383782
863,4.044,98.43202093
864,4.044,98.43020404
865,4.044,98.42838714
866,4.044,98.42657025
867,4.044,98.42475336
868,4.044,98.42293646
869,4.044,98.42111957
870,4.044,98.41930268
871,4.044,98.41748578
872,4.044,98.41566889
873,4.044,98.413852
874,4.044,98.4120351
875,4.044,98.41021821
876,4.044,98.40840132
877,4.044,98.40658442
878,4.044,98.40476753
879,4.044,98.40295064
880,4.044,98.40113374
881,4.044,98.39931685
882,4.044,98.39749995
883,4.044,98.39568306
884,4.044,98.39386617
885,4.044,98.39204927
886,4.044,98.39023238
887,4.044,98.38841549
888,4.044,98.38659859
889,4.044,98.3847817
890,4.044,98.38296481
891,4.044,98.38114791
892,4.044,98.37933102
893,4.044,98.37751413
894,4.044,98.37569723
895,4.044,98.37388034
896,4.044,98.37206345
897,4.044,98.37024655
898,4.044,98.36842966
899,4.044,98.36661277
900,4.044,98.36479587
901,4.044,98.36297898
902,4.044,98.36116209
903,4.044,98.35934519
904,4.044,98.3575283
905,4.044,98.3557114
906,4.044,98.35389451
907,4.044,98.35207762
908,4.044,98.35026072
909,4.044,98.34844383
910,4.044,98.34662694
911,4.044,98.34481004
912,4.044,98.34299315
913,4.044,98.34117626
914,4.044,98.33935936
915,4.044,98.33754247
916,4.044,98.33572558
917,4.044,98.33390868
918,4.044,98.33209179
919,4.044,98.3302749
920,4.044,98.328458
921,4.044,98.32664111
922,4.044,98.32482422
923,4.044,98.32300732
924,4.043,98.32119043
925,4.044,98.31937354
926,4.043,98.31755664
927,4.044,98.31573975
928,4.043,98.31392285
929,4.044,98.31210596
930,4.043,98.31028907
931,4.043,98.30847217
932,4.043,98.30665528
933,4.043,98.30483839
934,4.043,98.30302149
935,4.043,98.3012046
936,4.043,98.29938771
937,4.043,98.29757081
938,4.043,98.29575392
939,4.043,98.29393703
940,4.043,98.29212013
941,4.043,98.29030324
942,4.043,98.28848635
943,4.043,98.28666945
944,4.043,98.28485256
945,4.043,98.28303567
946,4.043,98.28121877
947,4.043,98.27940188
948,4.043,98.27758499
949,4.043,98.27576809
950,4.043,98.2739512
951,4.043,98.2721343
952,4.043,98.27031741
953,4.043,98.26850052
954,4.043,98.26668362
955,4.043,98.26486673
956,4.043,98.26304984
957,4.043,98.26123294
958,4.043,98.25941605
959,4.043,98.25759916
960,4.043,98.25578226
961,4.043,98.25396537
962,4.043,98.25214848
963,4.043,98.25033158
964,4.043,98.24851469
965,4.043,98.2466978
966,4.043,98.2448809
967,4.043,98.24306401
968,4.043,98.24124712
969,4.043,98.23943022
970,4.043,98.23761333
971,4.043,98.23579644
972,4.043,98.23397954
973,4.043,98.23216265
974,4.043,98.23034575
975,4.043,98.22852886
976,4.043,98.22671197
977,4.043,98.22489507
978,4.043,98.22307818
979,4.043,98.22126129
980,4.043,98.21944439
981,4.043,98.2176275
982,4.043,98.21581061
983,4.043,98.21399371
984,4.043,98.21217682
985,4.043,98.21035993
986,4.043,98.20854303
987,4.043,98.20672614
988,4.043,98.20490925
989,4.043,98.20309235
990,4.043,98.20127546
991,4.043,98.19945857
992,4.043,98.19764167
993,4.043,98.19582478
994,4.043,98.19400789
995,4.043,98.19219099
996,4.043,98.1903741
997,4.043,98.1885572
998,4.043,98.18674031
999,4.043,98.18492342
1000,4.043,98.18310652
1001,4.043,98.18128963
1002,4.043,98.17947274
1003,4.043,98.17765584
1004,4.043,98.17583895
1005,4.043,98.17402206
1006,4.043,98.17220516
1007,4.043,98.17038827
1008,4.043,98.16857138
1009,4.043,98.16675448
1010,4.043,98.16493759
1011,4.043,98.1631207
1012,4.043,98.1613038
1013,4.043,98.15948691
1014,4.043,98.15767002
1015,4.043,98.15585312
1016,4.043,98.15403623
1017,4.043,98.15221934
1018,4.043,98.15040244
1019,4.043,98.14858555
1020,4.043,98.14676865
1021,4.043,98.14495176
1022,4.043,98.14313487
1023,4.043,98.14131797
1024,4.043,98.13950108
1025,4.043,98.13768419
1026,4.043,98.13586729
1027,4.043,98.1340504
1028,4.043,98.13223351
1029,4.043,98.13041661
1030,4.043,98.12859972
1031,4.043,98.12678283
1032,4.043,98.12496593
1033,4.043,98.12314904
1034,4.043,98.12133215
1035,4.043,98.11951525
1036,4.043,98.11769836
1037,4.043,98.11588147
1038,4.043,98.11406457
1039,4.043,98.11224768
1040,4.043,98.11043079
1041,4.043,98.10861389
1042,4.043,98.106797
1043,4.043,98.10498011
1044,4.043,98.10316321
1045,4.043,98.10134632
1046,4.043,98.09952942
1047,4.043,98.09771253
1048,4.043,98.09589564
1049,4.043,98.09407874
1050,4.043,98.09226185
1051,4.043,98.09044496
1052,4.043,98.08862806
1053,4.043,98.08681117
1054,4.043,98.08499428
1055,4.043,98.08317738
1056,4.043,98.08136049
1057,4.043,98.0795436
1058,4.043,98.0777267
1059,4.043,98.07590981
1060,4.043,98.07409292
1061,4.043,98.07227602
1062,4.043,98.07045913
1063,4.043,98.06864224
1064,4.043,98.06682534
1065,4.043,98.06500845
1066,4.043,98.06319156
1067,4.043,98.06137466
1068,4.043,98.05955777
1069,4.043,98.05774087
1070,4.043,98.05592398
1071,4.043,98.05410709
1072,4.043,98.05229019
1073,4.043,98.0504733
1074,4.043,98.04865641
1075,4.043,98.04683951
1076,4.043,98.04502262
1077,4.043,98.04320573
1078,4.043,98.04138883
1079,4.043,98.03957194
1080,4.043,98.03775505
1081,4.043,98.03593815
1082,4.043,98.03412126
1083,4.043,98.03230437
1084,4.043,98.03048747
1085,4.043,98.02867058
1086,4.043,98.02685369
1087,4.043,98.02503679
1088,4.043,98.0232199
1089,4.043,98.02140301
1090,4.043,98.01958611
1091,4.043,98.01776922
1092,4.043,98.01595232
1093,4.043,98.01413543
1094,4.043,98.01231854
1095,4.043,98.01050164
1096,4.042,98.00868475
1097,4.043,98.00686786
1098,4.042,98.00505096
1099,4.042,98.00323407
1100,4.042,98.00141718
1101,4.042,97.99960028
1102,4.042,97.99778339
1103,4.042,97.9959665
1104,4.042,97.9941496
1105,4.042,97.99233271
1106,4.042,97.99051582
1107,4.042,97.98869892
1108,4.042,97.98688203
1109,4.042,97.98506514
1110,4.042,97.98324824
1111,4.042,97.98143135
1112,4.042,97.97961446
1113,4.042,97.97779756
1114,4.042,97.97598067
1115,4.042,97.97416377
1116,4.042,97.97234688
1117,4.042,97.97052999
1118,4.042,97.96871309
1119,4.042,97.9668962
1120,4.042,97.96507931
1121,4.042,97.96326241
1122,4.042,97.96144552
1123,4.042,97.95962863
1124,4.042,97.95781173
1125,4.042,97.95599484
1126,4.042,97.95417795
1127,4.042,97.95236105
1128,4.042,97.95054416
1129,4.042,97.94872727
1130,4.042,97.94691037
1131,4.042,97.94509348
1132,4.042,97.94327659
1133,4.042,97.94145969
1134,4.042,97.9396428
1135,4.042,97.93782591
1136,4.042,97.93600901
1137,4.042,97.93419212
1138,4.042,97.93237522
1139,4.041,97.93055833
1140,4.042,97.92874144
1141,4.041,97.92692454
1142,4.041,97.92510765
1143,4.041,97.92329076
1144,4.041,97.92147386
1145,4.041,97.91965697
1146,4.041,97.91784008
1147,4.041,97.91602318
1148,4.041,97.91420629
1149,4.041,97.9123894
1150,4.041,97.9105725
1151,4.041,97.90875561
